Designator,Footprint,Mid X,Mid Y,Rotation,Layer
R341,0402,100.900000,-52.600000,90,B
C314,0402,50.800000,-57.100000,0,B
R502,0402,48.800000,-44.900000,90,B
C418,0402,68.100000,-59.000000,-90,B
C410,0402,62.100000,-51.100000,90,B
C406,0402,62.300000,-49.500000,-180,B
C409,0402,66.600000,-53.800000,-180,B
R403,0402,68.800000,-53.900000,90,B
LED401,0603,59.500000,-51.900000,90,B
C416,0402,61.100000,-54.500000,0,B
C413,0603,65.500000,-59.100000,0,B
R402,0402,66.600000,-52.800000,0,B
C405,0402,67.500000,-50.200000,90,B
C402,0402,68.600000,-51.400000,90,B
C408,0402,66.600000,-54.800000,-180,B
C401,0402,66.600000,-51.800000,-180,B
C407,0402,67.900000,-56.300000,-90,B
C412,0402,65.400000,-55.900000,135,B
C403,0402,65.800000,-50.700016,-145,B
C404,0402,64.100000,-50.800000,75,B
C417,0402,63.100000,-55.900000,90,B
R406,0402,62.700000,-59.100000,-60,B
L404,0603,64.800000,-59.100000,270,T
L403,0603,63.100000,-59.100000,270,T
C414,0402,63.900000,-57.700000,40,B
R405,0402,59.200000,-56.200000,-90,B
C415,0402,60.800400,-56.291300,-5,B
C411,0402,60.000000,-57.600000,-155,B
R404,0402,60.000000,-59.400000,-90,B
R401,0402,59.600000,-49.600000,15,B
G301,shield_15.6_14.6,47.500000,-55.500000,0,T
C306,0603,41.900000,-54.500000,-90,B
C311,0402,49.900000,-49.900000,-180,B
R314,0402,43.400000,-53.500000,90,B
C309,0402,46.500000,-52.100000,0,B
C310,0402,45.500000,-54.200000,-90,B
R315,0402,47.400000,-49.900000,0,B
C308,0402,48.000000,-51.000000,0,B
R319,0603,50.300000,-55.000000,90,B
R317,0603,50.300000,-52.000000,90,B
U302,QFN16_3_EP,46.650000,-53.550000,90,T
R321,0402,51.800000,-51.100000,-90,B
L301,0603,51.500000,-54.300000,0,T
L300,0603,51.500000,-52.700000,0,T
C301,0603,48.000000,-57.100000,0,B
C312,0603,53.200000,-51.100000,90,B
C316,0603,53.200000,-55.699969,90,B
U309,mxd8641,50.720000,-58.000000,90,T
C302,0402,52.000000,-58.400000,155,B
U301,mxd8641,42.800000,-57.320000,0,T
CONN1,custom_sma4,22.000000,-24.500000,-90,B
T552,cx2156nl,51.800000,-26.400000,90,T
G302,shield_15.6_14.6,47.500000,-55.500000,0,B
C303,0805,44.100000,-60.800000,0,B
C313,0603,45.174100,-57.603400,-120,B
R301,0402,61.800000,-64.500000,0,B
C304,0402,43.200000,-58.500000,90,B
C305,0402,42.100000,-57.800000,90,B
R302,0402,61.800000,-63.400000,0,B
C5,0402,41.800000,-41.600000,0,B
U2,mxd8641,40.270000,-41.600000,90,T
C4,0402,40.400000,-42.900000,125,B
C504,0402,52.500000,-40.700000,-90,B
U501,tcxo3225,52.800000,-44.950000,90,T
C503,0603,55.900000,-40.000000,0,B
U502,MSOP10,52.800000,-41.000000,90,T
C501,0402,54.570700,-41.629300,-45,B
R501,0402,50.500000,-46.200000,0,B
C505,0603,50.400000,-43.400000,-90,B
R3,0402,42.900000,-44.000000,-90,B
R4,0402,45.200000,-44.400000,0,B
U3,mxd8641,62.920000,-22.500000,90,T
R5,0402,65.100000,-25.000000,-90,B
C7,0402,63.600000,-23.000000,90,B
R6,0402,66.200000,-24.900000,-90,B
C610,0402,77.300000,-31.800000,-90,B
C606,0402,71.400000,-36.500000,-180,B
C609,0402,72.800000,-29.100000,0,B
R603,0402,70.600000,-29.000000,-90,B
C616,0402,78.300000,-28.400000,-180,B
C613,0603,73.900000,-23.800000,-180,B
R602,0402,72.800000,-30.100000,-180,B
C605,0402,71.900000,-32.700000,-90,B
C602,0402,70.800000,-31.500000,-90,B
C608,0402,72.800000,-28.100000,0,B
C601,0402,72.800000,-31.100000,0,B
C607,0402,71.500000,-26.600000,90,B
C612,0402,74.000000,-27.000000,-45,B
C603,0402,73.600000,-32.199984,35,B
C604,0402,75.300000,-32.100000,-105,B
C617,0402,76.300000,-27.000000,-90,B
R606,0402,76.700000,-23.800000,120,B
L604,0603,74.600000,-23.800000,90,T
L603,0603,76.300000,-23.800000,90,T
C614,0402,75.500000,-25.200000,-140,B
R605,0402,80.200000,-26.700000,90,B
C615,0402,78.599600,-26.608700,175,B
C611,0402,79.400000,-25.300000,25,B
R604,0402,81.300000,-25.700000,90,B
C618,0402,71.242600,-24.218100,125,B
U601,custom_qfn32,75.450100,-29.449900,180,T
U401,custom_qfn32,63.949900,-53.450100,0,T
R338,0402,93.800000,-54.700000,-90,B
C337,0402,58.900000,-43.200000,0,B
R331,0402,88.100000,-47.200000,90,B
U303,LQFP48_7,91.450000,-49.250000,270,T
C326,0402,93.800000,-50.900000,0,B
LED301,0603,95.400000,-57.100000,-180,B
C329,0402,93.500000,-46.900000,-90,B
C327,0402,90.600000,-45.800000,-180,B
C328,0402,89.000000,-52.000000,-180,B
R329,0402,90.900000,-48.200000,90,B
R330,0402,91.900000,-47.200000,90,B
C320,0402,76.300000,-53.900000,0,B
C325,0603,85.800000,-47.900000,-180,B
R325,0402,76.600000,-51.300000,-90,B
R324,0402,75.000000,-50.800000,-180,B
R328,0402,82.900000,-52.700000,90,B
U304,SO8,78.000000,-51.300000,180,T
C317,0603,73.800000,-52.300000,-180,B
C321,0603,79.700000,-53.600000,0,B
R305,0402,76.500000,-55.100000,-180,B
R303,0402,78.800000,-55.300000,0,B
R304,0402,79.500000,-57.200000,0,B
C322,0402,77.300000,-56.800000,0,B
U305,mxd8641,78.100000,-56.020000,0,T
C710,0805,79.200000,-43.800000,-90,B
C619,0603,75.600000,-36.600000,-180,B
C112,0805,72.200000,-42.000000,0,B
L111,1008,71.700000,-43.300000,90,T
U111,SOT26,75.141400,-43.290600,180,T
C111,0805,73.600000,-44.600000,0,B
R601,0402,80.100000,-34.100000,-90,B
LED302,0603,91.000000,-54.600000,-180,B
U4,SOT23,82.158600,-43.209398,0,T
C502,0805,52.600000,-44.300000,90,B
R560,0402,24.900000,-31.800000,-90,B
C552,0402,26.400000,-30.100000,-180,B
C551,0402,26.700000,-28.400000,0,B
U551,mxd8641,27.580000,-29.100000,270,T
C1,0603,26.100000,-25.300000,-65,B
C553,0402,26.500000,-32.000000,-180,B
R562,0402,26.000000,-33.600000,-90,B
R563,0402,28.300000,-29.900000,90,B
R2,0402,44.400000,-42.000000,-135,B
R1,0402,45.200000,-42.900000,-135,B
C622,0402,82.100000,-30.100000,0,B
C621,0402,82.100000,-31.700000,0,B
R609,0402,83.800000,-40.500000,-90,B
R608,0402,82.700000,-40.500000,-90,B
R607,0402,81.600000,-40.500000,-90,B
R340,0603,100.000000,-42.300000,0,B
R339,0603,100.000000,-40.600000,0,B
LED601,0603,79.900000,-31.300000,-90,B
LED702,0603,107.000000,-29.600000,90,B
LED701,0603,107.000000,-33.000000,-90,B
LED704,0603,107.000000,-22.700000,90,B
LED703,0603,107.000000,-26.200000,-90,B
C620,0402,81.800000,-33.300000,0,B
S2,SK-12D02-VG3,83.300000,-22.600000,180,T
R701,0603,89.500000,-40.700000,0,B
C704,0805,94.000000,-37.500000,-90,B
C702,0805,91.800000,-37.500000,-90,B
C708,0805,96.100000,-32.100000,-180,B
U701,SO8_EP,93.200000,-34.450000,90,T
C707,0805,98.100000,-29.700000,-180,B
C703,0805,86.200000,-37.900000,-90,B
C701,0805,88.400000,-37.900000,-90,B
L702,1008,93.600000,-28.700000,0,T
C706,0805,91.700000,-32.700000,-170,B
C705,0805,88.600000,-33.600000,95,B
C709,0805,83.281700,-26.697940,60,B
U306,K1-1502SA-01,76.200000,-62.500000,180,T
CONN4,custom_sma4,22.000000,-60.500000,90,B
R10,0402,27.600000,-58.100000,-180,B
R11,0402,29.400000,-56.100000,-90,B
C8,0603,26.200000,-60.200000,55,B
R9,0402,27.600000,-56.600000,-155,B
C307,0603,42.900000,-50.900000,-45,B
C9,0805,86.200000,-42.600000,-180,B
R312,0402,75.700000,-49.400000,-180,B
R322,0402,72.800000,-50.800000,0,B
C315,0603,73.000000,-49.400000,-180,B
R505,0402,60.300000,-40.600000,-90,B
R504,0402,58.700000,-40.000000,0,B
C6,0402,65.291300,-22.300400,-65,B
R702,1206,92.300000,-24.600000,180,T
R111,0402,76.600000,-43.600000,-45,B
R112,0402,75.600000,-42.300000,35,B
R7,0402,58.000000,-42.100000,-180,B
R8,0402,56.400000,-42.500000,90,B
R307,0402,92.300000,-52.800000,-180,B
R310,0402,87.200000,-51.000000,0,B
R309,0402,87.200000,-50.000000,0,B
R308,0402,57.500000,-58.100000,90,B
C323,0402,53.700000,-58.800000,-90,B
R306,0402,89.800000,-56.600000,90,B
R335,0402,92.700000,-56.800000,0,B
C324,0402,89.300000,-48.200000,90,B
R503,0603,55.300000,-44.500000,-180,B
R311,0603,78.300000,-51.200000,80,B
L302,0805,80.800000,-50.400000,-115,B
R323,0402,77.900000,-48.600000,-120,B
C318,0603,80.900000,-47.400000,-180,B
U1,mxd8641,52.000000,-31.120000,0,T
C3,0402,51.300000,-31.700000,-90,B
C2,0402,49.100000,-32.500000,-180,B
R12,0402,48.600000,-31.400000,0,B
G502,shield_15.6_14.6,48.900000,-27.600000,0,T
T551,cx2156nl,45.000000,-27.300000,270,T
G501,shield_15.6_14.6,45.100000,-27.600000,0,B
R557,0402,41.400000,-23.700000,0,B
R552,0603,43.200000,-25.100000,-90,B
R556,0603,43.200000,-29.500000,90,B
R551,0603,41.000000,-25.800000,50,B
R554,0603,41.000000,-28.800000,-50,B
R558,0402,44.939300,-28.675400,-125,B
R553,0402,44.900000,-25.900000,125,B
R559,0402,49.200000,-28.600000,-75,B
R555,0402,48.400000,-24.200000,90,B
CONN300,custom_microusb2,91.000000,-62.825000,0,T
L401,0603_0805_2,65.900000,-45.850000,0,B
L303,0603_0805_2,47.964585,-59.994015,-45,B
L601,0603_0805_2,71.800000,-38.550000,-180,B
L602,0603_0805_2,78.150000,-35.300000,-90,B
L703,0603_0805_2,85.956700,-32.424937,-60,B
L701,0603_0805_2,86.106700,-28.238400,-60,B
