PN,device,footprint,value,qty,components
10nF,CAPACITOR,0402,,3,"C615,C415,C324"
1nF,CAPACITOR,0402,,5,"C618,C609,C418,C409,C337"
220nF,CAPACITOR,0402,,13,"C617,C606,C612,C603,C601,C608,C501,C417,C406,C412,C403,C401,C408"
330pF,CAPACITOR,0402,,11,"C622,C621,C620,C553,C552,C323,C6,C5,C3,C304,C308"
470nF,CAPACITOR,0402,,25,"C616,C551,C329,C416,C322,C611,C610,C604,C7,C4,C2,C305,C302,C504,C411,C410,C404,C328,C327,C326,C320,C314,C311,C309,C310"
10uF,CAPACITOR,0603,,15,"C613,C8,C413,C619,C321,C1,C505,C301,C503,C325,C317,C315,C307,C313,C306"
220nF,CAPACITOR,0603,,3,"C318,C316,C312"
10uF,CAPACITOR,0805,,8,"C710,C709,C706,C705,C702,C708,C707,C303"
22uF,CAPACITOR,0805,,5,"C9,C111,C112,C701,C502"
1.5kΩ 1%,RESISTOR,0402,,4,"R306,R304,R338,R335"
10kΩ 1%,RESISTOR,0402,,4,"R112,R341,R330,R329"
120Ω 1%,RESISTOR,0402,,8,"R505,R312,R9,R303,R605,R502,R405,R324"
2.2kΩ 1%,RESISTOR,0402,,8,"R310,R309,R307,R111,R601,R401,R328,R315"
220Ω 1%,RESISTOR,0402,,7,"R7,R5,R3,R1,R302,R501,R331"
4.7kΩ 1%,RESISTOR,0402,,5,"R602,R402,R323,R322,R325"
470Ω 1%,RESISTOR,0402,,15,"R609,R608,R607,R562,R560,R308,R305,R603,R604,R6,R4,R2,R301,R403,R404"
49.9R 1%,RESISTOR,0402,,10,"R559,R558,R555,R553,R504,R12,R563,R606,R557,R406"
75Ω 1%,RESISTOR,0402,,4,"R11,R10,R8,R314"
10Ω 1%,RESISTOR,0603,,3,"R311,R319,R317"
2.2Ω 1%,RESISTOR,0603,,2,"R503,R701"
68Ω 1%,RESISTOR,0603,,6,"R556,R554,R552,R551,R340,R339"
FBMH1608HM601-T,INDUCTOR,0603,,6,"L604,L603,L404,L403,L301,L300"
22uH,INDUCTOR,0805,,1,"L302"
GZ2012D601TF,INDUCTOR,0805,,6,"L601,L602,L401,L703,L701,L303"
2.2uH,INDUCTOR,1008,,2,"L111,L702"
blue,LED,0603,,3,"LED601,LED401,LED301"
red,LED,0603,,5,"LED302,LED704,LED703,LED702,LED701"
CON-SMA-EDGE-S,CONNECTOR,SMA,,2,"CONN4,CONN1"
szlcsc/C10418,CONNECTOR,micro usb,,1,"CONN300"
617DB-1023=P3,617DB-1023=P3,cx2156nl,,2,"T552,T551"
GD32F303CCT6,GD32F303CCT6,LQFP48_7,,1,"U303"
GS8052,GS8052,SO8,,1,"U304"
IP5305,IP5305,SO8_EP,,1,"U701"
JW5211,JW5211,SOT26,,1,"U111"
K1-1502SA-01,K1-1502SA-01,K1-1502SA-01,,1,"U306"
LCD ILI9341 2.4in,LCD-ILI9341-2.4in,connector14,,1,"CONN303"
MXD8641,MXD8641,mxd8641,,7,"U551,U305,U3,U2,U1,U301,U309"
PTC 2A,PTC 2A,1206,,1,"R702"
SK-12D02-VG3,SK-12D02-VG3,SK-12D02-VG3,,1,"S2"
YSO680PR,YSO680PR,tcxo3225,,1,"U501"
AD8342ACPZ,ad8342,QFN16_3_EP,,1,"U302"
ADF4350BCPZ,adf4350,QFN32_EP,,2,"U601,U401"
DSWB01LHGET,dipswitch-2,dip2,,1,"S301"
si5351a,si5351a,MSOP10,,1,"U502"
XC6206P302MR,xc6206-3.0,SOT-23-3L,,1,"U4"
XH-2.54 90 degrees,xh2.54-angled,CONNECTOR 1 2,,1,"CONN3"
